TaxID,Organism,Group,Agency,Document,Provision,Pathogen Name,IGSC Status,IGSC Risk Level,Date of Change,Changed by
694009,Severe acute respiratory syndrome-related coronavirus,Viruses,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Viruses,Severe acute respiratory syndrome-related coronavirus (SARS-related coronavirus),1,II,2016-05-11,anru
90370,Salmonella enterica subsp. enterica serovar Typhi,Bacteria,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Bacteria,Salmonella typhi,1,III,2016-05-11,anru
561,Escherichia,Bacteria (Toxin),The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Bacteria,"Shiga toxin producing Escherichia coli (STEC) of serogroups O26, O45, O103, O104, O111, O121, O145, O157, and other shiga toxin producing serogroups",1,II,2016-05-11,anru
83334,Escherichia coli O157:H7,Bacteria,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Bacteria,"Shiga toxin producing Escherichia coli (STEC) of serogroups O26, O45, O103, O104, O111, O121, O145, O157, and other shiga toxin producing serogroups",1,II,2016-05-11,anru
168927,Escherichia coli O111:H-,Bacteria,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Bacteria,"Shiga toxin producing Escherichia coli (STEC) of serogroups O26, O45, O103, O104, O111, O121, O145, O157, and other shiga toxin producing serogroups",1,II,2016-05-11,anru
183192,Escherichia coli O157:H-,Bacteria,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Bacteria,"Shiga toxin producing Escherichia coli (STEC) of serogroups O26, O45, O103, O104, O111, O121, O145, O157, and other shiga toxin producing serogroups",1,II,2016-05-11,anru
244314,Escherichia coli O157:H45,Bacteria,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Bacteria,"Shiga toxin producing Escherichia coli (STEC) of serogroups O26, O45, O103, O104, O111, O121, O145, O157, and other shiga toxin producing serogroups",1,II,2016-05-11,anru
244317,Escherichia coli O128:H2,Bacteria,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Bacteria,"Shiga toxin producing Escherichia coli (STEC) of serogroups O26, O45, O103, O104, O111, O121, O145, O157, and other shiga toxin producing serogroups",1,II,2016-05-11,anru
244319,Escherichia coli O26:H11,Bacteria,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Bacteria,"Shiga toxin producing Escherichia coli (STEC) of serogroups O26, O45, O103, O104, O111, O121, O145, O157, and other shiga toxin producing serogroups",1,II,2016-05-11,anru
244320,Escherichia coli O55:H7,Bacteria,The Australia Group,LIST OF HUMAN AND ANIMAL PATHOGENS AND TOXINS FOR EXPORT CONTROL,Bacteria,"Shiga toxin producing Escherichia coli (STEC) of serogroups O26, O45, O103, O104, O111, O121, O145, O157, and other shiga toxin producing serogroups",1,II,2016-05-11,anru
